"comp_no";"version_id";"description";"interpretation";"table_id";"modification";"data_type_code";"data_structure";"last_change";"section"
1;1;"Saal";"Saal";0;"O";"ST";"ST";;
1;2;"message type";"Nachrichtentyp";76;"O";"ID";"ID";;"2-46"
1;6;"Street Address";"Strasse";0;"O";"ST";"ST";1.9.2003 22:24:14;
1;7;"Street Address";"Strasse";0;"O";"ST";"ST";28.10.2007 17:49:03;
1;9;"Street Address";"Strasse";0;"O";"ST";"ST";18.3.2014 20:07:42;
1;10;"Street Address";;0;"O";"ST";"ST";6.1.2020 12:07:16;
1;61;"Street Address";"Strasse";0;"O";"ST";"ST";10.5.2007 23:16:33;
1;81;"Street Address";"Strasse";0;"O";"ST";"ST";29.3.2013 16:30:28;
1;91;"Street Address";"Strasse";0;"O";"ST";"ST";2.11.2014 19:17:25;
2;1;"Stuhl";"Stuhl";0;"O";"ST";"ST";;
2;2;"Trigger Event";"Nachrichtenereignis";3;"O";"ID";"ID";;"2-46"
2;3;"trigger event";"Nachrichtenereignis";3;"O";"ID";"ID";;
2;4;"trigger event";"Nachrichtenereignis";3;"O";"ID";"ID";14.4.1999 21:46:18;
2;5;"trigger event";"Nachrichtenereignis";3;"O";"ID";"ID";8.7.2000 12:20:09;
2;6;"Other Designation";"sonst. Adresse";0;"O";"ST";"ST";1.9.2003 22:24:14;
2;7;"Other Designation";"sonst. Adresse";0;"O";"ST";"ST";28.10.2007 17:49:03;
2;9;"Other Designation";"sonst. Adresse";0;"O";"ST";"ST";18.3.2014 20:07:42;
2;10;"Other Designation";;0;"O";"ST";"ST";6.1.2020 12:07:16;
2;61;"Other Designation";"sonst. Adresse";0;"O";"ST";"ST";10.5.2007 23:16:33;
2;81;"Other Designation";"sonst. Adresse";0;"O";"ST";"ST";29.3.2013 16:30:28;
2;91;"Other Designation";"sonst. Adresse";0;"O";"ST";"ST";2.11.2014 19:17:25;
3;1;"Tisch";"Sitzplatz";0;"O";"ST";"ST";;
3;2;"identifier";"Schlüssel";0;"O";"ID";"ID";;"3-35"
3;3;"identifier";"Schlüssel";0;"O";"ID";"ID";;"2-78"
