"data_structure";"version_id";"description";"interpretation";"data_type_code";"repeating";"elementary";"date";"section";"anchor";"owl_gen";"mixed_content"
"-";7;"withdrawn";"obsolet";"-";0;0;26.10.2007 18:35:11;;;0;0
"-";8;"withdrawn";"obsolet";"-";0;0;6.3.2011 21:56:08;;;0;0
"-";9;"withdrawn";"obsolet";"-";0;0;17.3.2014 23:17:56;;;0;0
"-";10;"withdrawn";"obsolet";"-";0;0;17.3.2014 23:17:56;;;0;0
"-";61;"withdrawn";"obsolet";"-";0;0;10.3.2013 22:11:48;;;0;0
"-";81;"withdrawn";"obsolet";"-";0;0;10.3.2013 22:11:48;;;0;0
"-";91;"withdrawn";"obsolet";"-";0;0;10.3.2013 22:11:48;;;0;0
"-";92;"withdrawn";"obsolet";"-";0;0;13.7.2015 00:00:00;;;0;0
"-";540;"withdrawn";"obsolet";"-";0;0;6.7.2015 12:28:53;;;0;0
"AD";1;"address";"Adresse";"AD";0;0;25.11.1995 17:28:32;"2.3.3.8";"kap2.html#Heading33";0;0
"AD";2;"address";"Adresse";"AD";0;0;25.11.1995 17:28:32;"2.4.5.10";"hl7chp2.html#Heading24";0;0
"AD";3;"address";"Adresse";"AD";0;0;7.1.2020 08:01:27;"2.8.1";;0;0
"AD";4;"address";"Adresse";"AD";0;0;14.4.1999 21:48:20;"2.8.1";"ch2.html#Heading22";0;0
"AD";5;"address";"Adresse";"AD";0;0;25.3.2000 17:40:30;"2.9.1";"ch02.htm#Heading23";0;0
"AD";6;"Address";"Adresse";"AD";0;0;28.2.2008 08:10:40;"2.A.1";"ch02A.html#Heading3";0;0
"AD";7;"Address";"Adresse";"AD";0;0;26.10.2007 18:06:25;"2.A.1";"ch02a.html#Heading3";0;0
"AD";8;"Address";"Adresse";"AD";0;0;6.3.2011 21:49:42;"2.A.1";"ch02a.html#Heading3";0;0
"AD";9;"Address";"Adresse";"AD";0;0;17.3.2014 23:01:47;"2.A.1";"ch02a.html#Heading3";0;0
"AD";10;"Address";"Adresse";"AD";0;0;6.1.2020 11:24:21;"2A.3.1";"ch02A.html#Heading322";0;0
"AD";60;"Address";"Adresse";"AD";0;1;7.5.2006 16:58:35;"2.A.1";"ch02A.html#Heading3";0;0
"AD";61;"Address";"Adresse";"AD";0;0;8.5.2007 22:24:13;"2.A.1.1";"ch02a.html#Heading3";0;0
"AD";81;"Address";"Adresse";"AD";0;0;10.3.2013 21:57:51;"2.A.1";"ch02a.html#Heading3";0;0
"AD";91;"Address";"Adresse";"AD";0;0;2.11.2014 16:32:34;"2.A.1";"ch02a.html#Heading3";0;0
"AD";92;"Address";"Adresse";"AD";0;0;13.7.2015 12:47:55;"2.A.1";"ch02a.html#Heading3";0;0
"AUI";4;"authorization information";"Aktenzeichen der Kostenübernahme";"AUI";0;0;30.12.2001 18:06:52;;;0;0
"AUI";5;"authorization information";"Aktenzeichen der Kostenübernahme";"AUI";0;0;29.11.2001 00:00:00;;;0;0
"AUI";6;"Authorization Information";"Aktenzeichen der Kostenübernahme";"AUI";0;0;22.8.2003 12:51:54;"2.A.2";"ch02A.html#Heading13";0;0
"AUI";7;"Authorization Information";"Aktenzeichen der Kostenübernahme";"AUI";0;0;26.10.2007 18:06:25;"2.A.2";"ch02a.html#Heading13";0;0
"AUI";8;"Authorization Information";"Aktenzeichen der Kostenübernahme";"AUI";0;0;6.3.2011 21:49:42;"2.A.2";"ch02a.html#Heading13";0;0
"AUI";9;"Authorization Information";"Aktenzeichen der Kostenübernahme";"AUI";0;0;17.3.2014 23:01:47;"2.A.2";"ch02a.html#Heading13";0;0
"AUI";10;"Authorization Information";"Aktenzeichen der Kostenübernahme";"AUI";0;0;6.1.2020 11:24:21;"2A.3.2";"ch02A.html#Heading331";0;0
"AUI";60;"Authorization Information";"Aktenzeichen der Kostenübernahme";"AUI";0;0;22.8.2003 12:51:54;"2.A.2";"ch02A.html#Heading13";0;0
"AUI";61;"Authorization Information";"Aktenzeichen der Kostenübernahme";"AUI";0;0;8.5.2007 22:24:13;"2.A.1.2";"ch02a.html#Heading13";0;0
"AUI";81;"Authorization Information";"Aktenzeichen der Kostenübernahme";"AUI";0;0;10.3.2013 21:57:51;"2.A.2";"ch02a.html#Heading11";0;0
"AUI";91;"Authorization Information";"Aktenzeichen der Kostenübernahme";"AUI";0;0;2.11.2014 16:32:34;"2.A.2";"ch02a.html#Heading13";0;0
"AUI";92;"Authorization Information";"Aktenzeichen der Kostenübernahme";"AUI";0;0;13.7.2015 12:47:55;"2.A.2";"ch02a.html#Heading13";0;0
"CCD";4;"charge time";"Abrechnungszeitpunkt";"CCD";0;0;30.12.2001 00:00:00;;;0;0
"CCD";5;"charge time";"Abrechnungszeitpunkt";"CCD";0;0;2.2.2001 00:00:00;;;0;0
"CCD";6;"Charge Code and Date";"Rechnungslegung";"CCD";0;0;22.8.2003 12:51:54;"2.A.3";"ch02A.html#Heading18";0;0
"CCD";7;"Charge Code and Date";"Rechnungslegung";"CCD";0;0;26.10.2007 18:06:25;"2.A.3";"ch02a.html#Heading18";0;0
"CCD";8;"Charge Code and Date";"Rechnungslegung";"CCD";0;0;6.3.2011 21:49:42;"2.A.3";"ch02a.html#Heading18";0;0
"CCD";9;"Charge Code and Date";"Rechnungslegung";"CCD";0;0;17.3.2014 23:01:47;"2.A.3";"ch02a.html#Heading18";0;0
"CCD";10;"Charge Code and Date";"Rechnungslegung";"CCD";0;0;6.1.2020 11:24:21;"2A.3.3";"ch02A.html#Heading335";0;0
"CCD";60;"Charge Code and Date";"Rechnungslegung";"CCD";0;0;22.8.2003 12:51:54;"2.A.3";"ch02A.html#Heading18";0;0
"CCD";61;"Charge Code and Date";"Rechnungslegung";"CCD";0;0;8.5.2007 22:24:13;"2.A.1.3";"ch02a.html#Heading18";0;0
"CCD";81;"Charge Code and Date";"Rechnungslegung";"CCD";0;0;10.3.2013 21:57:51;"2.A.3";"ch02a.html#Heading15";0;0
"CCD";91;"Charge Code and Date";"Rechnungslegung";"CCD";0;0;2.11.2014 16:32:34;"2.A.3";"ch02a.html#Heading18";0;0
"CCD";92;"Charge Code and Date";"Rechnungslegung";"CCD";0;0;13.7.2015 12:47:55;"2.A.3";"ch02a.html#Heading18";0;0
