"data_type_code";"version_id";"description";"length";"anchor";"owl_gen"
"-";7;"withdrawn";;;0
"-";8;"withdrawn";;;0
"-";9;"withdrawn";;;0
"-";10;"withdrawn";;;0
"-";61;"withdrawn";;;0
"-";81;"withdrawn";;;0
"-";91;"withdrawn";;;0
"-";92;"withdrawn";;;0
"-";540;"withdrawn";;;0
"AD";1;"ADDRESS";0;;0
"AD";2;"ADDRESS";0;;0
"AD";3;"address";0;;0
"AD";4;"Address";0;"ch2fin.html#Heading22";0
"AD";5;"Address";;;0
"AD";6;"Address";;"ch02A.html#Heading3";0
"AD";7;"Address";;"ch02a.html#Heading3";0
"AD";8;"Address";;"ch02a.html#Heading3";0
"AD";9;"Address";;"ch02a.html#Heading3";0
"AD";10;"AD";;"ch02A.html#Heading322";0
"AD";60;"Address";;"ch02A.html#Heading3";0
"AD";61;"Address";;"ch02a.html#Heading3";0
"AD";81;"Address";;"ch02a.html#Heading3";0
"AD";91;"Address";;"ch02a.html#Heading3";0
"AD";92;"Address";;"ch02a.html#Heading3";0
"AUI";4;"authorization information";;;0
"AUI";5;"authorization information";;;0
"AUI";6;"Authorization Information";;"ch02A.html#Heading13";0
"AUI";7;"Authorization Information";;"ch02a.html#Heading13";0
"AUI";8;"Authorization Information";;"ch02a.html#Heading13";0
"AUI";9;"Authorization Information";;"ch02a.html#Heading13";0
"AUI";10;"AUI";;"ch02A.html#Heading331";0
"AUI";60;"Authorization Information";;"ch02A.html#Heading13";0
"AUI";61;"Authorization Information";;"ch02a.html#Heading13";0
"AUI";81;"Authorization Information";;"ch02a.html#Heading11";0
"AUI";91;"Authorization Information";;"ch02a.html#Heading13";0
"AUI";92;"Authorization Information";;"ch02a.html#Heading13";0
"CCD";4;"charge time";;;0
"CCD";5;"charge time";;;0
"CCD";6;"Charge Code and Date";;"ch02A.html#Heading18";0
"CCD";7;"Charge Code and Date";;"ch02a.html#Heading18";0
"CCD";8;"Charge Code and Date";;"ch02a.html#Heading18";0
"CCD";9;"Charge Code and Date";;"ch02a.html#Heading18";0
"CCD";10;"CCD";;"ch02A.html#Heading335";0
"CCD";60;"Charge Code and Date";;"ch02A.html#Heading18";0
"CCD";61;"Charge Code and Date";;"ch02a.html#Heading18";0
"CCD";81;"Charge Code and Date";;"ch02a.html#Heading15";0
"CCD";91;"Charge Code and Date";;"ch02a.html#Heading18";0
"CCD";92;"Charge Code and Date";;"ch02a.html#Heading18";0
"CCP";4;"calibration parameters";;;0
"CCP";5;"calibration parameters";;;0
"CCP";6;"Channel Calibration Parameters";;"ch02A.html#Heading22";0
"CCP";7;"Channel Calibration Parameters";;"ch02a.html#Heading22";0
"CCP";8;"Channel Calibration Parameters";;"ch02a.html#Heading22";0
"CCP";9;"Channel Calibration Parameters";;"ch02a.html#Heading22";0
"CCP";10;"CCP";;"ch02A.html#Heading338";0
"CCP";60;"Channel Calibration Parameters";;"ch02A.html#Heading22";0
"CCP";61;"Channel Calibration Parameters";;"ch02a.html#Heading22";0
"CCP";81;"Channel Calibration Parameters";;"ch02a.html#Heading18";0
"CCP";91;"Channel Calibration Parameters";;"ch02a.html#Heading22";0
"CCP";92;"Channel Calibration Parameters";;"ch02a.html#Heading22";0
"CD";3;"channel definition";0;;0
"CD";4;"Channel definition";0;"ch2fin.html#Heading32";0
"CD";5;"Channel definition";;;0
"CD";6;"Channel Definition";;"ch02A.html#Heading27";0
"CD";7;"Channel Definition";;"ch02a.html#Heading27";0
"CD";8;"Channel Definition";;"ch02a.html#Heading27";0
"CD";9;"Channel Definition";;"ch02a.html#Heading27";0
"CD";10;"CD";;"ch02A.html#Heading342";0
"CD";60;"Channel Definition";;"ch02A.html#Heading27";0
"CD";61;"Channel Definition";;"ch02a.html#Heading27";0
"CD";81;"Channel Definition";;"ch02a.html#Heading22";0
"CD";91;"Channel Definition";;"ch02a.html#Heading27";0
"CD";92;"Channel Definition";;"ch02a.html#Heading27";0
"CE";1;"CODED ELEMENT";0;;0
"CE";2;"CODED ELEMENT";0;;0
"CE";3;"CODED ELEMENT";0;;0
"CE";4;"Coded element";0;"ch2fin.html#Heading33";0
"CE";5;"Coded element";;;0
"CE";6;"Coded Element";;"ch02A.html#Heading34";0
"CE";7;"Coded Element";;"ch02a.html#Heading35";1
"CE";20;"Coded elements";;;0
"CE";60;"Coded Element";;"ch02A.html#Heading34";0
"CE";61;"Coded Element";;"ch02a.html#Heading34";0
"CE";540;"Coded Element";;;0
"CE";630;"Coded Element";;;0
"CF";2;"CODED ELEMENT WITH FORMATTED VALUES";0;;0
"CF";3;"coded element with formatted values";0;;0
"CF";4;"Coded element with formatted values";0;"ch2fin.html#Heading38";0
"CF";5;"Coded element with formatted values";;;0
"CF";6;"Coded Element with Formatted Values";;"ch02A.html#Heading42";0
"CF";7;"Coded Element with Formatted Values";;"ch02a.html#Heading36";0
"CF";8;"Coded Element with Formatted Values";;"ch02a.html#Heading36";0
"CF";9;"Coded Element with Formatted Values";;"ch02a.html#Heading36";0
"CF";10;"CF";;"ch02A.html#Heading350";0
"CF";60;"Coded Element with Formatted Values";;"ch02A.html#Heading42";0
"CF";61;"Coded Element with Formatted Values";;"ch02a.html#Heading42";0
"CF";81;"Coded Element with Formatted Values";;"ch02a.html#Heading30";0
"CF";91;"Coded Element with Formatted Values";;"ch02a.html#Heading36";0
"CF";92;"Coded Element with Formatted Values";;"ch02a.html#Heading36";0
"CK";1;"COMPOSITE ID W/CHK DIGIT";0;;0
"CK";2;"COMPOSITE ID W/CHK DIGIT";0;;0
"CK";3;"composite ID with check digit";0;;0
"CK";4;"Composite ID with check digit";0;"ch2fin.html#Heading39";0
"CK";5;"Composite ID with check digit";;;0
"CM";1;"COMPOSITE";0;;0
"CM";2;"COMPOSITE";0;;0
"CM";3;"COMPOSITE";;;0
"CN";1;"COMPOSITE ID AND NAME";0;;0
"CN";2;"COMPOSITE ID AND NAME";0;;0
"CN";3;"composite ID number and name";0;;0
"CN";4;"Composite ID number and name";0;"ch2fin.html#Heading45";0
"CN";5;"Composite ID number and name";;;0
"CNE";4;"Coded with no exceptions";0;"ch2fin.html#Heading55";0
"CNE";5;"Coded with no exceptions";;;0
"CNE";6;"Coded with No Exceptions";;"ch02A.html#Heading50";0
"CNE";7;"Coded with No Exceptions";;"ch02a.html#Heading44";1
"CNE";8;"Coded with No Exceptions";;"ch02a.html#Heading60";0
"CNE";9;"Coded with No Exceptions";;"ch02a.html#Heading60";0
"CNE";10;"CNE";;"ch02A.html#Heading373";0
"CNE";60;"Coded with No Exceptions";;"ch02A.html#Heading50";0
"CNE";61;"Coded with No Exceptions";;"ch02a.html#Heading50";0
"CNE";81;"Coded with No Exceptions";;"ch02a.html#Heading53";0
"CNE";91;"Coded with No Exceptions";;"ch02a.html#Heading60";0
"CNE";92;"Coded with No Exceptions";;"ch02a.html#Heading60";0
"CNN";5;"Composite ID number and Name simplified";;;0
"CNN";6;"Composite ID Number and Name Simplified";;"ch02A.html#Heading61";0
"CNN";7;"Composite ID Number and Name Simplified";;"ch02a.html#Heading55";0
"CNN";8;"Composite ID Number and Name Simplified";;"ch02a.html#Heading84";0
"CNN";9;"Composite ID Number and Name Simplified";;"ch02a.html#Heading84";0
"CNN";10;"CNN";;"ch02A.html#Heading396";0
"CNN";60;"Composite ID Number and Name Simplified";;"ch02A.html#Heading61";0
"CNN";61;"Composite ID Number and Name Simplified";;"ch02a.html#Heading61";0
"CNN";81;"Composite ID Number and Name Simplified";;"ch02a.html#Heading76";0
"CNN";91;"Composite ID Number and Name Simplified";;"ch02a.html#Heading84";0
"CNN";92;"Composite ID Number and Name Simplified";;"ch02a.html#Heading84";0
"CNS";4;"Composite ID number and Name simplified";;;0
"CP";3;"composite price";0;;0
"CP";4;"Composite price";0;"ch2fin.html#Heading63";0
"CP";5;"Composite price";;;0
"CP";6;"Composite Price";;"ch02A.html#Heading74";0
"CP";7;"Composite Price";;"ch02a.html#Heading68";0
"CP";8;"Composite Price";;"ch02a.html#Heading97";0
"CP";9;"Composite Price";;"ch02a.html#Heading97";0
"CP";10;"CP";;"ch02A.html#Heading408";0
"CP";60;"Composite Price";;"ch02A.html#Heading74";0
"CP";61;"Composite Price";;"ch02a.html#Heading74";0
"CP";81;"Composite Price";;"ch02a.html#Heading88";0
"CP";91;"Composite Price";;"ch02a.html#Heading97";0
"CP";92;"Composite Price";;"ch02a.html#Heading97";0
"CQ";1;"COMPOSITE QUANTITY/UNITS";0;;0
"CQ";2;"COMPOSITE QUANTITY WITH UNITS";0;;0
"CQ";3;"composite quantity with units";0;;0
"CQ";4;"Composite quantity with units";0;"ch2fin.html#Heading70";0
"CQ";5;"Composite quantity with units";;;0
"CQ";6;"Composite Quantity with Units";;"ch02A.html#Heading82";0
"CQ";7;"Composite Quantity with Units";;"ch02a.html#Heading76";0
"CQ";8;"Composite Quantity with Units";;"ch02a.html#Heading105";0
"CQ";9;"Composite Quantity with Units";;"ch02a.html#Heading105";0
"CQ";10;"CQ";;"ch02A.html#Heading415";0
"CQ";60;"Composite Quantity with Units";;"ch02A.html#Heading82";0
