"event_code";"version_id";"message_type";"seq_no";"seg_code";"groupname";"modification";"repetitional";"optional";"status"
"A01";1;"ACK";1;"MSH";;"O";0;0;
"A01";1;"ACK";2;"MSA";;"O";0;0;
"A01";1;"ACK";4;"ERR";;"O";0;1;
"A01";1;"ADT";1;"MSH";;"O";0;0;
"A01";1;"ADT";2;"EVN";;"O";0;0;
"A01";1;"ADT";3;"PID";;"O";0;0;
"A01";1;"ADT";4;"NK1";;"O";0;0;
"A01";1;"ADT";5;"PV1";;"O";0;0;
"A01";1;"ADT";7;"DG1";;"O";0;1;
"A01";2;"ACK";1;"MSH";;"O";0;0;
"A01";2;"ACK";2;"MSA";;"O";0;0;
"A01";2;"ACK";4;"ERR";;"O";0;1;
"A01";2;"ADT";1;"MSH";;"O";0;0;
"A01";2;"ADT";2;"EVN";;"O";0;0;
"A01";2;"ADT";3;"PID";;"O";0;0;
"A01";2;"ADT";6;"NK1";;"O";1;1;
"A01";2;"ADT";9;"PV1";;"O";0;0;
"A01";2;"ADT";11;"PV2";;"O";0;1;
"A01";2;"ADT";15;"OBX";;"O";1;1;
"A01";2;"ADT";20;"AL1";;"O";1;1;
"A01";2;"ADT";25;"DG1";;"O";1;1;
"A01";2;"ADT";30;"PR1";;"O";1;1;
"A01";2;"ADT";35;"GT1";;"O";1;1;
"A01";2;"ADT";38;"[";"INSURANCE";"O";0;0;
"A01";2;"ADT";39;"{";"";"O";0;0;
"A01";2;"ADT";40;"IN1";;"O";0;0;
"A01";2;"ADT";42;"IN2";;"O";0;1;
"A01";2;"ADT";45;"IN3";;"O";0;1;
"A01";2;"ADT";47;"}";;"O";0;0;
"A01";2;"ADT";48;"]";;"O";0;0;
"A01";2;"ADT";50;"ACC";;"O";0;1;
"A01";2;"ADT";53;"UB1";;"O";0;1;
"A01";2;"ADT";56;"UB2";;"O";0;1;
"A01";3;"ACK";1;"MSH";;"O";0;0;
"A01";3;"ACK";2;"MSA";;"O";0;0;
"A01";3;"ACK";4;"ERR";;"O";0;1;
"A01";3;"ADT";1;"MSH";;"O";0;0;
"A01";3;"ADT";2;"EVN";;"O";0;0;
"A01";3;"ADT";3;"PID";;"O";0;0;
"A01";3;"ADT";5;"PD1";;"O";0;1;
"A01";3;"ADT";9;"NK1";;"O";1;1;
"A01";3;"ADT";12;"PV1";;"O";0;0;
"A01";3;"ADT";14;"PV2";;"O";0;1;
"A01";3;"ADT";18;"DB1";;"O";1;1;
"A01";3;"ADT";23;"OBX";;"O";1;1;
"A01";3;"ADT";28;"AL1";;"O";1;1;
"A01";3;"ADT";33;"DG1";;"O";1;1;
"A01";3;"ADT";37;"DRG";;"O";0;1;
"A01";3;"ADT";39;"[";"PROCEDURE";"O";0;0;
"A01";3;"ADT";40;"{";"";"O";0;0;
"A01";3;"ADT";41;"PR1";;"O";0;0;
"A01";3;"ADT";44;"ROL";;"O";1;1;
"A01";3;"ADT";47;"}";;"O";0;0;
"A01";3;"ADT";48;"]";"PROCEDURE";"O";0;0;
"A01";3;"ADT";51;"GT1";;"O";1;1;
"A01";3;"ADT";54;"[";"INSURANCE";"O";0;0;
"A01";3;"ADT";55;"{";"";"O";0;0;
"A01";3;"ADT";56;"IN1";;"O";0;0;
"A01";3;"ADT";58;"IN2";;"O";0;1;
"A01";3;"ADT";61;"IN3";;"O";0;1;
"A01";3;"ADT";63;"}";;"O";0;0;
"A01";3;"ADT";64;"]";"INSURANCE";"O";0;0;
"A01";3;"ADT";66;"ACC";;"O";0;1;
"A01";3;"ADT";69;"UB1";;"O";0;1;
