"message_structure";"version_id";"seq_no";"seg_code";"groupname";"modification";"repetitional";"optional";"status"
"ACK";4;1;"MSH";;"O";0;0;
"ACK";4;2;"MSA";;"O";0;0;
"ACK";4;3;"ERR";;"O";0;1;
"ACK";5;1;"MSH";;"O";0;0;
"ACK";5;2;"MSA";;"O";0;0;
"ACK";5;4;"ERR";;"O";0;1;
"ACK";6;1;"MSH";"";"O";0;0;
"ACK";6;2;"SFT";"";"O";1;1;
"ACK";6;3;"MSA";"";"O";0;0;
"ACK";6;4;"ERR";"";"O";1;1;
"ACK";7;1;"MSH";"";"O";0;0;
"ACK";7;2;"SFT";"";"O";1;1;
"ACK";7;3;"UAC";"";"O";0;1;
"ACK";7;4;"MSA";"";"O";0;0;
"ACK";7;5;"ERR";"";"O";1;1;
"ACK";8;1;"MSH";;"O";0;0;
"ACK";8;2;"SFT";;"O";1;1;
"ACK";8;3;"UAC";;"O";0;1;
"ACK";8;4;"MSA";;"O";0;0;
"ACK";8;5;"ERR";;"O";1;1;
"ACK";9;1;"MSH";"";"O";0;0;
"ACK";9;2;"SFT";"";"O";1;1;
"ACK";9;3;"UAC";"";"O";0;1;
"ACK";9;4;"MSA";"";"O";0;0;
"ACK";9;5;"ERR";"";"O";1;1;
"ACK";10;1;"MSH";"";"O";0;0;
"ACK";10;2;"SFT";"";"O";1;1;
"ACK";10;3;"UAC";"";"O";0;1;
"ACK";10;4;"MSA";"";"O";0;0;
"ACK";10;5;"ERR";"";"O";1;1;
"ACK";61;1;"MSH";"";"O";0;0;
"ACK";61;2;"SFT";"";"O";1;1;
"ACK";61;3;"MSA";"";"O";0;0;
"ACK";61;4;"ERR";"";"O";1;1;
"ACK";81;1;"MSH";"";"O";0;0;
"ACK";81;2;"SFT";"";"O";1;1;
"ACK";81;3;"UAC";"";"O";0;1;
"ACK";81;4;"MSA";"";"O";0;0;
"ACK";81;5;"ERR";"";"O";1;1;
"ACK";91;1;"MSH";"";"O";0;0;
"ACK";91;2;"SFT";"";"O";1;1;
"ACK";91;3;"UAC";"";"O";0;1;
"ACK";91;4;"MSA";"";"O";0;0;
"ACK";91;5;"ERR";"";"O";1;1;
"ACK";92;1;"MSH";"";"O";0;0;
"ACK";92;2;"SFT";"";"O";1;1;
"ACK";92;3;"UAC";"";"O";0;1;
"ACK";92;4;"MSA";"";"O";0;0;
"ACK";92;5;"ERR";"";"O";1;1;
"ACK";540;1;"MSH";;"O";0;0;
"ACK";540;2;"MSA";;"O";0;0;
"ACK";540;3;"ERR";;"O";0;1;
"ADR_A19";5;1;"MSH";;"O";0;0;
"ADR_A19";5;2;"MSA";;"O";0;0;
"ADR_A19";5;4;"ERR";;"O";0;1;
"ADR_A19";5;7;"QAK";;"O";0;1;
"ADR_A19";5;9;"QRD";;"O";0;0;
"ADR_A19";5;11;"QRF";;"O";0;1;
"ADR_A19";5;13;"{";"QUERY_RESPONSE";"O";0;0;
"ADR_A19";5;15;"EVN";;"O";0;1;
"ADR_A19";5;17;"PID";;"O";0;0;
"ADR_A19";5;19;"PD1";;"O";0;1;
"ADR_A19";5;23;"ROL";;"O";1;1;
"ADR_A19";5;28;"NK1";;"O";1;1;
"ADR_A19";5;31;"PV1";;"O";0;0;
"ADR_A19";5;33;"PV2";;"O";0;1;
"ADR_A19";5;37;"ROL";;"O";1;1;
"ADR_A19";5;42;"DB1";;"O";1;1;
"ADR_A19";5;47;"OBX";;"O";1;1;
"ADR_A19";5;52;"AL1";;"O";1;1;
"ADR_A19";5;57;"DG1";;"O";1;1;
"ADR_A19";5;61;"DRG";;"O";0;1;
"ADR_A19";5;63;"[{";"PROCEDURE";"O";0;0;
"ADR_A19";5;65;"PR1";;"O";0;0;
"ADR_A19";5;68;"ROL";;"O";1;1;
"ADR_A19";5;72;"}]";"PROCEDURE";"O";0;0;
"ADR_A19";5;75;"GT1";;"O";1;1;
"ADR_A19";5;78;"[{";"INSURANCE";"O";0;0;
"ADR_A19";5;80;"IN1";;"O";0;0;
"ADR_A19";5;82;"IN2";;"O";0;1;
"ADR_A19";5;86;"IN3";;"O";1;1;
"ADR_A19";5;91;"ROL";;"O";1;1;
"ADR_A19";5;95;"}]";"INSURANCE";"O";0;0;
"ADR_A19";5;97;"ACC";;"O";0;1;
"ADR_A19";5;100;"UB1";;"O";0;1;
"ADR_A19";5;103;"UB2";;"O";0;1;
"ADR_A19";5;105;"}";"QUERY_RESPONSE";"O";0;0;
"ADR_A19";5;107;"DSC";;"O";0;1;
"ADR_A19";6;1;"MSH";"";"O";0;0;
"ADR_A19";6;2;"SFT";"";"O";1;1;
"ADR_A19";6;3;"MSA";"";"O";0;0;
"ADR_A19";6;4;"ERR";"";"O";0;1;
"ADR_A19";6;5;"QAK";"";"O";0;1;
"ADR_A19";6;6;"QRD";"";"O";0;0;
"ADR_A19";6;7;"QRF";"";"O";0;1;
"ADR_A19";6;8;"{";"QUERY_RESPONSE";"O";0;0;
"ADR_A19";6;9;"EVN";"";"O";0;1;
"ADR_A19";6;10;"PID";"";"O";0;0;
"ADR_A19";6;11;"PD1";"";"O";0;1;
"ADR_A19";6;12;"ROL";"";"O";1;1;
"ADR_A19";6;13;"NK1";"";"O";1;1;
"ADR_A19";6;14;"PV1";"";"O";0;0;
