"message_structure";"version_id";"description";"example_event";"example_msg_type";"action";"section";"anchor";"owl_gen"
"?";1;"unknown";;;;;;0
"?";2;"unknown";;;;;;0
"?";3;"unknown";;;;;;0
"?";4;"unknown";;;;;;0
"ACK";0;"Standard Acknowlegdement";;;;;;0
"ACK";1;"Standard Acknowlegdement";"A01";"ACK";;;;0
"ACK";2;"Standard Acknowlegdement";"A01";"ACK";;;;0
"ACK";3;"Standard Acknowlegdement";"A01";"ACK";;;;0
"ACK";4;"Standard Acknowlegdement";"A01";"ACK";;;;0
"ACK";5;"Standard Acknowlegdement";;;;"all";;0
"ACK";6;"Standard Acknowlegdement";;;;"2.14.1";"ch02.html#Heading142";0
"ACK";7;"Standard Acknowlegdement";;;;"2.13.1";"ch02.html#Heading92";1
"ACK";8;"General Acknowledgment";;;;"2.13.1";"ch02.html#Heading93";0
"ACK";9;"General Acknowledgment";;;;"2.13.1";"ch02.html#Heading101";0
"ACK";10;"General Acknowledgment";;;;"2.13.1";"ch02.html#Heading150";0
"ACK";32;"Standard Acknowlegdement";;;;;;0
"ACK";61;"Standard Acknowlegdement";;;;"2.14.1";"ch02.html#Heading142";0
"ACK";81;"General Acknowledgment";;;;"2.13.1";"ch02.html#Heading93";0
"ACK";91;"General Acknowledgment";;;;"2.13.1";"ch02.html#Heading101";0
"ACK";92;"General Acknowledgment";;;;"2.13.1";"ch02.html#Heading101";0
"ACK";540;"General Acknowledgment";;;;;;0
"ACK_N02";5;;;;;"14";;0
"ADR_A19";4;;"A19";"ADR";;;;0
"ADR_A19";5;;;;;"3";;0
"ADR_A19";6;;;;;"3.3.19";"ch03.html#Heading23";0
"ADR_A19";7;;;;;"3.3.19";"ch03.html#Heading23";0
"ADR_A19";61;;;;;"3.3.19";"ch03.html#Heading23";0
"ADT_A01";0;"ADT Admission Message";;;;;;0
"ADT_A01";3;"ADT Admission Message";"A01";"ADT";;;;0
"ADT_A01";4;"ADT Admission Message";"A01";"ADT";;;;0
"ADT_A01";5;"ADT Admission Message";;;;"3";;0
"ADT_A01";6;"ADT Admission Message";;;;"3.3.1";"ch03.html#Heading5";0
"ADT_A01";7;"ADT Admission Message";;;;"3.3.1";"ch03.html#Heading5";1
"ADT_A01";8;"ADT Admission Message";;;;"3.3.1";"ch03.html#Heading5";0
"ADT_A01";9;"ADT Admission Message";;;;"3.3.1";"ch03.html#Heading5";0
"ADT_A01";10;"ADT Admission Message";;;;"3.3.1";"ch03.html#Heading941";0
"ADT_A01";32;"ADT Admission Message";;;;;;0
"ADT_A01";61;"ADT Admission Message";;;;"3.3.1";"ch03.html#Heading5";0
"ADT_A01";81;"ADT Admission Message";;;;"3.3.1";"ch03.html#Heading5";0
"ADT_A01";91;"ADT Admission Message";;;;"3.3.1";"ch03.html#Heading5";0
"ADT_A01";92;"ADT Admission Message";;;;"3.3.1";"ch03.html#Heading5";0
"ADT_A01";540;"ADT Admission Message";;;;;;0
"ADT_A02";3;"ADT Transfer Message";"A02";"ADT";;;;0
"ADT_A02";4;"ADT Transfer Message";"A02";"ADT";;;;0
"ADT_A02";5;"ADT Transfer Message";;;;"3";;0
"ADT_A02";6;"ADT Transfer Message";;;;"3.3.2";"ch03.html#Heading6";0
"ADT_A02";7;"ADT Transfer Message";;;;"3.3.2";"ch03.html#Heading6";1
"ADT_A02";8;"ADT Transfer Message";;;;"3.3.2";"ch03.html#Heading6";0
"ADT_A02";9;"ADT Transfer Message";;;;"3.3.2";"ch03.html#Heading6";0
"ADT_A02";10;"ADT Transfer Message";;;;"3.3.2";"ch03.html#Heading942";0
"ADT_A02";61;"ADT Transfer Message";;;;"3.3.2";"ch03.html#Heading6";0
"ADT_A02";81;"ADT Transfer Message";;;;"3.3.2";"ch03.html#Heading6";0
"ADT_A02";91;"ADT Transfer Message";;;;"3.3.2";"ch03.html#Heading6";0
"ADT_A02";92;"ADT Transfer Message";;;;"3.3.2";"ch03.html#Heading6";0
"ADT_A02";540;"ADT Transfer Message";;;;;;0
"ADT_A03";3;"ADT Discharge Message";"A03";"ADT";;;;0
"ADT_A03";4;"ADT Discharge Message";"A03";"ADT";;;;0
"ADT_A03";5;"ADT Discharge Message";;;;"3";;0
"ADT_A03";6;"ADT Discharge Message";;;;"3.3.3";"ch03.html#Heading7";0
"ADT_A03";7;"ADT Discharge Message";;;;"3.3.3";"ch03.html#Heading7";1
"ADT_A03";8;"ADT Discharge Message";;;;"3.3.3";"ch03.html#Heading7";0
"ADT_A03";9;"ADT Discharge Message";;;;"3.3.3";"ch03.html#Heading7";0
"ADT_A03";10;"ADT Discharge Message";;;;"3.3.3";"ch03.html#Heading943";0
"ADT_A03";61;"ADT Discharge Message";;;;"3.3.3";"ch03.html#Heading7";0
"ADT_A03";81;"ADT Discharge Message";;;;"3.3.3";"ch03.html#Heading7";0
"ADT_A03";91;"ADT Discharge Message";;;;"3.3.3";"ch03.html#Heading7";0
"ADT_A03";92;"ADT Discharge Message";;;;"3.3.3";"ch03.html#Heading7";0
"ADT_A05";5;"ADT Message";;;;"3";;0
"ADT_A05";6;"ADT Message";;;;"3.3.14";"ch03.html#Heading18";0
"ADT_A05";7;"ADT Message";;;;"3.3.5";"ch03.html#Heading9";1
"ADT_A05";8;"ADT Message";;;;"3.3.5";"ch03.html#Heading9";0
"ADT_A05";9;"ADT Message";;;;"3.3.5";"ch03.html#Heading9";0
"ADT_A05";10;"ADT Message";;;;"3.3.5";"ch03.html#Heading945";0
"ADT_A05";61;"ADT Message";;;;"3.3.5";"ch03.html#Heading9";0
"ADT_A05";81;"ADT Message";;;;"3.3.5";"ch03.html#Heading9";0
"ADT_A05";91;"ADT Message";;;;"3.3.5";"ch03.html#Heading9";0
"ADT_A05";92;"ADT Message";;;;"3.3.5";"ch03.html#Heading9";0
"ADT_A06";3;"General (2)";"A06";"ADT";;;;0
"ADT_A06";4;;"A06";"ADT";;;;0
"ADT_A06";5;;;;;"3";;0
"ADT_A06";6;;;;;"3.3.6";"ch03.html#Heading10";0
"ADT_A06";7;;;;;"3.3.6";"ch03.html#Heading10";0
"ADT_A06";8;"ADT Message";;;;"3.3.6";"ch03.html#Heading10";0
"ADT_A06";9;"ADT Message";;;;"3.3.6";"ch03.html#Heading10";0
"ADT_A06";10;;;;;"3.3.6";"ch03.html#Heading946";0
"ADT_A06";61;;;;;"3.3.6";"ch03.html#Heading10";0
"ADT_A06";81;"ADT Message";;;;"3.3.6";"ch03.html#Heading10";0
"ADT_A06";91;;;;;"3.3.6";"ch03.html#Heading10";0
"ADT_A06";92;;;;;"3.3.6";"ch03.html#Heading10";0
"ADT_A09";3;"Track/Cancel";"A09";"ADT";;;;0
"ADT_A09";4;"Track/Cancel";"A09";"ADT";;;;0
"ADT_A09";5;"Track/Cancel";;;;"3";;0
"ADT_A09";6;"Track/Cancel";;;;"3.3.9";"ch03.html#Heading13";0
"ADT_A09";7;"Track/Cancel";;;;"3.3.9";"ch03.html#Heading13";0
"ADT_A09";8;"Track/Cancel";;;;"3.3.9";"ch03.html#Heading13";0
"ADT_A09";9;"Track/Cancel";;;;"3.3.9";"ch03.html#Heading13";0
"ADT_A09";10;"Track/Cancel";;;;"3.3.9";"ch03.html#Heading949";0
"ADT_A09";61;"Track/Cancel";;;;"3.3.9";"ch03.html#Heading13";0
"ADT_A09";81;"Track/Cancel";;;;"3.3.9";"ch03.html#Heading13";0
"ADT_A09";91;"Track/Cancel";;;;"3.3.9";"ch03.html#Heading13";0
"ADT_A09";92;"Track/Cancel";;;;"3.3.9";"ch03.html#Heading13";0
"ADT_A09";540;"Track/Cancel";;;;;;0
"ADT_A11";540;"Track/Cancel";;;;;;0
"ADT_A12";3;"Track/Cancel (2)";"A12";"ADT";;;;0
"ADT_A12";4;"Track/Cancel (2)";"A12";"ADT";;;;0
"ADT_A12";6;"Track/Cancel (2)";;;;"3.3.12";"ch03.html#Heading16";0
"ADT_A12";7;"Track/Cancel (2)";;;;"3.3.12";"ch03.html#Heading16";1
"ADT_A12";8;"Track/Cancel (2)";;;;"3.3.12";"ch03.html#Heading16";0
"ADT_A12";9;"Track/Cancel (2)";;;;"3.3.12";"ch03.html#Heading16";0
"ADT_A12";10;"Track/Cancel (2)";;;;"3.3.12";"ch03.html#Heading952";0
"ADT_A12";61;"Track/Cancel (2)";;;;"3.3.12";"ch03.html#Heading16";0
"ADT_A12";81;"Track/Cancel (2)";;;;"3.3.12";"ch03.html#Heading16";0
"ADT_A12";91;"Track/Cancel (2)";;;;"3.3.12";"ch03.html#Heading16";0
"ADT_A12";92;"Track/Cancel (2)";;;;"3.3.12";"ch03.html#Heading16";0
"ADT_A15";5;;;;;"3";;0
"ADT_A15";6;;;;;"3.3.15";"ch03.html#Heading19";0
"ADT_A15";7;;;;;"3.3.15";"ch03.html#Heading19";0
"ADT_A15";8;"ADT Message";;;;"3.3.15";"ch03.html#Heading19";0
"ADT_A15";9;"ADT Message";;;;"3.3.15";"ch03.html#Heading19";0
"ADT_A15";10;"ADT Message";;;;"3.3.15";"ch03.html#Heading955";0
"ADT_A15";61;;;;;"3.3.15";"ch03.html#Heading19";0
"ADT_A15";81;"ADT Message";;;;"3.3.15";"ch03.html#Heading19";0
"ADT_A15";91;;;;;"3.3.15";"ch03.html#Heading19";0
"ADT_A15";92;;;;;"3.3.15";"ch03.html#Heading19";0
"ADT_A15";540;;;;;;;0
"ADT_A16";3;"Pending Discharge";"A16";"ADT";;;;0
"ADT_A16";4;"Pending Discharge";"A16";"ADT";;;;0
"ADT_A16";5;"Pending Discharge";;;;"3";;0
"ADT_A16";6;"Pending Discharge";;;;"3.3.16";"ch03.html#Heading20";0
"ADT_A16";7;"Pending Discharge";;;;"3.3.16";"ch03.html#Heading20";0
