"seg_code";"version_id";"seq_no";"data_item";"req_opt";"repetitional";"repetitions";"section";"anchor";"impl_guide"
"ABS";5;1;1514;"O";;0;"6.5.12.1";"ch06.htm#Heading363";0
"ABS";5;2;1515;"O";;0;"6.5.12.2";"ch06.htm#Heading364";0
"ABS";5;3;1516;"O";;0;"6.5.12.3";"ch06.htm#Heading365";0
"ABS";5;4;1517;"O";;0;"6.5.12.4";"ch06.htm#Heading366";0
"ABS";5;5;1518;"O";;0;"6.5.12.5";"ch06.htm#Heading367";0
"ABS";5;6;1519;"O";;0;"6.5.12.6";"ch06.htm#Heading368";0
"ABS";5;7;1520;"O";;0;"6.5.12.7";"ch06.htm#Heading369";0
"ABS";5;8;1521;"O";;0;"6.5.12.8";"ch06.htm#Heading370";0
"ABS";5;9;1522;"O";;0;"6.5.12.9";"ch06.htm#Heading371";0
"ABS";5;10;1523;"O";;0;"6.5.12.10";"ch06.htm#Heading372";0
"ABS";5;11;1524;"O";;0;"6.5.12.11";"ch06.htm#Heading373";0
"ABS";5;12;1525;"O";;0;"6.5.12.12";"ch06.htm#Heading374";0
"ABS";5;13;1526;"O";;0;"6.5.12.13";"ch06.htm#Heading375";0
"ABS";5;14;1527;"O";;0;"6.5.12.14";"ch06.htm#Heading376";0
"ABS";6;1;1514;"O";"";0;"6.5.12.1";"ch06.html#Heading380";0
"ABS";6;2;1515;"O";"";0;"6.5.12.2";"ch06.html#Heading381";0
"ABS";6;3;1516;"O";"";0;"6.5.12.3";"ch06.html#Heading382";0
"ABS";6;4;1517;"O";"";0;"6.5.12.4";"ch06.html#Heading383";0
"ABS";6;5;1518;"O";"";0;"6.5.12.5";"ch06.html#Heading384";0
"ABS";6;6;1519;"O";"";0;"6.5.12.6";"ch06.html#Heading385";0
"ABS";6;7;1520;"O";"";0;"6.5.12.7";"ch06.html#Heading386";0
"ABS";6;8;1521;"O";"";0;"6.5.12.8";"ch06.html#Heading387";0
"ABS";6;9;1522;"O";"";0;"6.5.12.9";"ch06.html#Heading388";0
"ABS";6;10;1523;"O";"";0;"6.5.12.10";"ch06.html#Heading389";0
"ABS";6;11;1524;"O";"";0;"6.5.12.11";"ch06.html#Heading390";0
