"seg_code";"version_id";"description";"interpretation";"function_area";"generate";"last_field_repeatable";"visible";"section";"anchor";"owl_gen";"steward";"segment_type"
"[";0;"begin optional";;;0;0;0;;;0;;2
"[";1;"begin optional";;;0;0;0;;;0;;2
"[";2;"begin optional";;;0;0;0;;;0;;2
"[";3;"begin optional";;;0;0;0;;;0;;2
"[";4;"begin optional";;;0;0;0;;;0;;2
"[";5;"begin optional";;;0;0;0;;;0;;2
"[";6;"begin optional";;;0;0;0;;;0;;2
"[";7;"begin optional";;;0;0;0;;;0;;2
"[";8;"begin optional";;;0;0;0;;;0;;2
"[";9;"begin optional";;;0;0;0;"";"";0;;2
"[";10;"begin optional";;;0;0;0;"";"";0;;2
"[";61;"begin optional";;;0;0;0;;;0;;2
"[";81;"begin optional";;;0;0;0;"";"";0;;2
"[";91;"begin optional";;;0;0;0;"";"";0;;2
"[";92;"begin optional";;;0;0;0;"";"";0;;2
"[{";3;"begin optional + repeating";;;0;0;0;;;0;;2
"[{";4;"begin optional + repeating";;;0;0;0;;;0;;2
"[{";5;"begin optional + repeating";;;0;0;0;;;0;;2
"[{";6;"begin optional + repeating";;;0;0;0;;;0;;2
"[{";7;"begin optional + repeating";;;0;0;0;;;0;;2
"[{";8;"begin optional + repeating";;;0;0;0;"";"";0;;2
"[{";9;"begin optional + repeating";;;0;0;0;"";"";0;;2
"[{";10;"begin optional + repeating";;;0;0;0;"";"";0;;2
"[{";32;"begin optional + repeating";;;0;0;0;;;0;;2
"[{";61;"begin optional + repeating";;;0;0;0;;;0;;2
"[{";81;"begin optional + repeating";;;0;0;0;"";"";0;;2
"[{";91;"begin optional + repeating";;;0;0;0;"";"";0;;2
"[{";92;"begin optional + repeating";;;0;0;0;"";"";0;;2
"]";1;"end optional";;;0;0;0;;;0;;2
"]";2;"end optional";;;0;0;0;;;0;;2
"]";3;"end optional";;;0;0;0;;;0;;2
"]";4;"end optional";;;0;0;0;;;0;;2
"]";5;"end optional";;;0;0;0;;;0;;2
"]";6;"end optional";;;0;0;0;;;0;;2
"]";7;"end optional";;;0;0;0;;;0;;2
"]";8;"end optional";;;0;0;0;"";"";0;;2
"]";9;"end optional";;;0;0;0;"";"";0;;2
"]";10;"end optional";;;0;0;0;"";"";0;;2
"]";32;"end optional";;;0;0;0;;;0;;2
"]";61;"end optional";;;0;0;0;;;0;;2
"]";81;"end optional";;;0;0;0;"";"";0;;2
"]";91;"end optional";;;0;0;0;"";"";0;;2
"]";92;"end optional";;;0;0;0;"";"";0;;2
"{";1;"begin repetition";;;0;0;0;;;0;;2
"{";2;"begin repetition";;;0;0;0;;;0;;2
"{";3;"begin repetition";;;0;0;0;;;0;;2
"{";4;"begin repetition";;;0;0;0;;;0;;2
"{";5;"begin repetition";;;0;0;0;;;0;;2
"{";6;"begin repetition";;;0;0;0;;;0;;2
"{";7;"begin repetition";;;0;0;0;;;0;;2
"{";8;"begin repetition";;;0;0;0;"";"";0;;2
"{";9;"begin repetition";;;0;0;0;"";"";0;;2
"{";10;"begin repetition";;;0;0;0;"";"";0;;2
"{";32;"begin repetition";;;0;0;0;;;0;;2
"{";61;"begin repetition";;;0;0;0;;;0;;2
"{";81;"begin repetition";;;0;0;0;"";"";0;;2
"{";91;"begin repetition";;;0;0;0;"";"";0;;2
"{";92;"begin repetition";;;0;0;0;"";"";0;;2
"|";1;"next choice";;;0;0;0;;;0;;2
"|";2;"next choice";;;0;0;0;;;0;;2
"|";3;"next choice";;;0;0;0;;;0;;2
"|";4;"next choice";;;0;0;0;;;0;;2
"|";5;"next choice";;;0;0;0;;;0;;2
"|";6;"next choice";;;0;0;0;;;0;;2
"|";7;"next choice";;;0;0;0;;;0;;2
"|";8;"next choice";;;0;0;0;"";"";0;;2
"|";9;"next choice";;;0;0;0;"";"";0;;2
"|";10;"next choice";;;0;0;0;"";"";0;;2
"|";61;"next choice";;;0;0;0;;;0;;2
"|";81;"next choice";;;0;0;0;"";"";0;;2
"|";91;"next choice";;;0;0;0;"";"";0;;2
"|";92;"next choice";;;0;0;0;"";"";0;;2
"}";1;"end repetition";;;0;0;0;;;0;;2
"}";2;"end repetition";;;0;0;0;;;0;;2
"}";3;"end repetition";;;0;0;0;;;0;;2
"}";4;"end repetition";;;0;0;0;;;0;;2
"}";5;"end repetition";;;0;0;0;;;0;;2
"}";6;"end repetition";;;0;0;0;;;0;;2
"}";7;"end repetition";;;0;0;0;;;0;;2
"}";8;"end repetition";;;0;0;0;"";"";0;;2
"}";9;"end repetition";;;0;0;0;"";"";0;;2
"}";10;"end repetition";;;0;0;0;"";"";0;;2
"}";32;"end repetition";;;0;0;0;;;0;;2
"}";61;"end repetition";;;0;0;0;;;0;;2
"}";81;"end repetition";;;0;0;0;"";"";0;;2
"}";91;"end repetition";;;0;0;0;"";"";0;;2
"}";92;"end repetition";;;0;0;0;"";"";0;;2
"}]";3;"end optional + repeating";;;0;0;0;;;0;;2
"}]";4;"end optional + repeating";;;0;0;0;;;0;;2
"}]";5;"end optional + repeating";;;0;0;0;;;0;;2
"}]";6;"end optional + repeating";;;0;0;0;;;0;;2
"}]";7;"end optional + repeating";;;0;0;0;;;0;;2
"}]";8;"end optional + repeating";;;0;0;0;"";"";0;;2
"}]";9;"end optional + repeating";;;0;0;0;"";"";0;;2
"}]";10;"end optional + repeating";;;0;0;0;"";"";0;;2
"}]";32;"end optional + repeating";;;0;0;0;;;0;;2
"}]";61;"end optional + repeating";;;0;0;0;;;0;;2
"}]";81;"end optional + repeating";;;0;0;0;"";"";0;;2
"}]";91;"end optional + repeating";;;0;0;0;"";"";0;;2
"}]";92;"end optional + repeating";;;0;0;0;"";"";0;;2
"<";1;"begin choice";;;0;0;0;;;0;;2
"<";2;"begin choice";;;0;0;0;;;0;;2
"<";3;"begin choice";;;0;0;0;;;0;;2
"<";4;"begin choice";;;0;0;0;;;0;;2
"<";5;"begin choice";;;0;0;0;;;0;;2
"<";6;"begin choice";;;0;0;0;;;0;;2
"<";7;"begin choice";;;0;0;0;;;0;;2
"<";8;"begin choice";;;0;0;0;"";"";0;;2
"<";9;"begin choice";;;0;0;0;"";"";0;;2
"<";10;"begin choice";;;0;0;0;"";"";0;;2
"<";61;"begin choice";;;0;0;0;;;0;;2
"<";81;"begin choice";;;0;0;0;"";"";0;;2
"<";91;"begin choice";;;0;0;0;"";"";0;;2
"<";92;"begin choice";;;0;0;0;"";"";0;;2
">";1;"end choice";;;0;0;0;;;0;;2
">";2;"end choice";;;0;0;0;;;0;;2
">";3;"end choice";;;0;0;0;;;0;;2
">";4;"end choice";;;0;0;0;;;0;;2
">";5;"end choice";;;0;0;0;;;0;;2
">";6;"end choice";;;0;0;0;;;0;;2
">";7;"end choice";;;0;0;0;;;0;;2
">";8;"end choice";;;0;0;0;"";"";0;;2
">";9;"end choice";;;0;0;0;"";"";0;;2
">";10;"end choice";;;0;0;0;"";"";0;;2
">";61;"end choice";;;0;0;0;;;0;;2
">";81;"end choice";;;0;0;0;"";"";0;;2
">";91;"end choice";;;0;0;0;"";"";0;;2
">";92;"end choice";;;0;0;0;"";"";0;;2
"ABS";5;"Abstract";"Abstraktes Segment";;0;0;1;"6.5.12";"ch06.htm#Heading361";0;;2
"ABS";6;"Abstract";"Abstraktes Segment";;0;0;1;"6.5.12";"ch06.html#Heading378";0;;2
"ABS";7;"Abstract";"Abstraktes Segment";;0;0;1;"6.5.12";"ch06.html#Heading408";0;;2
"ABS";8;"Abstract";"Abstraktes Segment";;0;0;1;"6.5.12";"ch06.html#Heading414";0;;2
"ABS";9;"Abstract";"Abstraktes Segment";;0;0;1;"6.5.12";"ch06.html#Heading429";0;;2
"ABS";10;"Abstract";"Abstraktes Segment";;0;0;1;"6.5.12";"ch06.html#Heading2758";0;;2
"ABS";61;"Abstract";"Abstraktes Segment";;0;0;1;"6.5.12";"ch06.html#Heading378";0;;2
"ABS";81;"Abstract";"Abstraktes Segment";;0;0;1;"6.5.12";"ch06.html#Heading414";0;;2
"ABS";91;"Abstract";"Abstraktes Segment";;0;0;1;"6.5.12";"ch06.html#Heading429";0;;2
"ABS";92;"Abstract";"Abstraktes Segment";;0;0;1;"6.5.12";"ch06.html#Heading429";0;;2
"ACC";1;"ACCIDENT";"Unfallinformationen";"BLN";0;0;1;;;0;;2
"ACC";2;"ACCIDENT";"Unfallinformationen";"BLN";0;0;1;"6.4.8";"hl7chp6.html#Heading192";0;;2
"ACC";3;"Accident";"Unfallinformationen";;0;0;1;"6.4.9";"ch6.htm#Heading290";0;;2
"ACC";4;"Accident";"Unfallinformationen";;0;0;1;"6.4.9";"ch6.html#Heading301";0;;2
"ACC";5;"Accident";"Unfallinformationen";;0;0;1;"6.5.9";"ch06.htm#Heading305";0;;2
"ACC";6;"Accident";"Unfallinformationen";;0;0;1;"6.5.9";"ch06.html#Heading322";0;;2
"ACC";7;"Accident";"Unfallinformationen";;0;0;1;"6.5.9";"ch06.html#Heading351";0;;2
"ACC";8;"Accident";"Unfallinformationen";;0;0;1;"6.5.9";"ch06.html#Heading359";0;;2
"ACC";9;"Accident";"Unfallinformationen";;0;0;1;"6.5.9";"ch06.html#Heading370";0;;2
"ACC";10;"Accident";"Unfallinformationen";;0;0;1;"6.5.9";"ch06.html#Heading2699";0;;2
"ACC";32;"Accident";"Unfallinformationen";;0;0;1;;;0;;2
"ACC";61;"Accident";"Unfallinformationen";;0;0;1;"6.5.9";"ch06.html#Heading322";0;;2
"ACC";81;"Accident";"Unfallinformationen";;0;0;1;"6.5.9";"ch06.html#Heading359";0;;2
"ACC";91;"Accident";"Unfallinformationen";;0;0;1;"6.5.9";"ch06.html#Heading370";0;;2
"ACC";92;"Accident";"Unfallinformationen";;0;0;1;"6.5.9";"ch06.html#Heading370";0;;2
"ADD";1;"ADDENDUM";"Informationen über zugehörige Fortsetzungsnachrich";"CNT";0;1;1;"2.5.1";"kap2.html#Heading53";0;"InM";2
"ADD";2;"ADDENDUM";"Informationen über zugehörige Fortsetzungsnachrich";"CNT";0;1;1;"2.10.10";"hl7chp2.html#Heading158";0;"InM";2
"ADD";3;"Addendum";"Informationen über zugehörige Fortsetzungsnachrich";;0;1;1;"2.24.10";"ch2.htm#Heading389";0;"InM";2
"ADD";4;"Addendum";"Informationen über zugehörige Fortsetzungsnachrich";;0;1;1;"2.24.10";"ch2.html#Heading478";0;"InM";2
"ADD";5;"Addendum";"Informationen über zugehörige Fortsetzungsnachrich";;0;1;1;"2.16.1";"ch02.htm#Heading388";0;"InM";2
"ADD";6;"Addendum";"Informationen über zugehörige Fortsetzungsnachrich";;0;1;1;"2.15.1";"ch02.html#Heading145";0;"InM";2
"ADD";7;"Addendum";"Informationen über zugehörige Fortsetzungsnachrich";;0;1;1;"2.14.1";"ch02.html#Heading94";0;"InM";2
"ADD";8;"Addendum";"Informationen über zugehörige Fortsetzungsnachrich";;0;1;1;"2.14.1";"ch02.html#Heading95";0;"InM";2
"ADD";9;"Addendum";"Informationen über zugehörige Fortsetzungsnachrich";;0;1;1;"2.14.1";"ch02.html#Heading103";0;"InM";2
"ADD";10;"Addendum";"Informationen über zugehörige Fortsetzungsnachrich";;0;0;1;"2.14.1";"ch02.html#Heading153";0;"InM";2
"ADD";61;"Addendum";"Informationen über zugehörige Fortsetzungsnachrich";;0;1;1;"2.15.1";"ch02.html#Heading145";0;"InM";2
"ADD";81;"Addendum";"Informationen über zugehörige Fortsetzungsnachrich";;0;1;1;"2.14.1";"ch02.html#Heading95";0;"InM";2
"ADD";91;"Addendum";"Informationen über zugehörige Fortsetzungsnachrich";;0;1;1;"2.14.1";"ch02.html#Heading103";0;"InM";2
"ADD";92;"Addendum";"Informationen über zugehörige Fortsetzungsnachrich";;0;1;1;"2.14.1";"ch02.html#Heading103";0;"InM";2
"ADJ";7;"Adjustment";"Korrektur";;0;0;1;"16.4.7";"ch16.html#Heading135";0;;2
"ADJ";8;"Adjustment";"Korrektur";;0;0;1;"16.4.7";"ch16.html#Heading129";0;;2
"ADJ";9;"Adjustment";"Korrektur";;0;0;1;"16.4.7";"ch16.html#Heading135";0;;2
"ADJ";10;"Adjustment";"Korrektur";;0;0;1;"16.4.7";"ch16.html#Heading4881";0;;2
"ADJ";81;"Adjustment";"Korrektur";;0;0;1;"16.4.7";"ch16.html#Heading129";0;;2
"ADJ";91;"Adjustment";"Korrektur";;0;0;1;"16.4.7";"ch16.html#Heading135";0;;2
"ADJ";92;"Adjustment";"Korrektur";;0;0;1;"16.4.7";"ch16.html#Heading135";0;;2
"AFF";5;"Professional Affiliation";"Zugehörigkeit zu Berufsverbänden";;0;0;1;"15.4.1";"ch15.htm#Heading14";0;"PA";2
"AFF";6;"Professional Affiliation";"Zugehörigkeit zu Berufsverbänden";;0;0;1;"15.4.1";"ch15.html#Heading16";0;"PA";2
"AFF";7;"Professional Affiliation";"Zugehörigkeit zu Berufsverbänden";;0;0;1;"15.4.1";"ch15.html#Heading16";0;"PA";2
"AFF";8;"Professional Affiliation";"Zugehörigkeit zu Berufsverbänden";;0;0;1;"15.4.1";"ch15.html#Heading16";0;"PA";2
"AFF";9;"Professional Affiliation";"Zugehörigkeit zu Berufsverbänden";;0;0;1;"15.4.1";"ch15.html#Heading16";0;"PA";2
"AFF";10;"Professional Affiliation";"Zugehörigkeit zu Berufsverbänden";;0;0;1;"15.4.1";"ch15.html#Heading4613";0;"PA";2
"AFF";61;"Professional Affiliation";"Zugehörigkeit zu Berufsverbänden";;0;0;1;"15.4.1";"ch15.html#Heading16";0;"PA";2
"AFF";81;"Professional Affiliation";"Zugehörigkeit zu Berufsverbänden";;0;0;1;"15.4.1";"ch15.html#Heading16";0;"PA";2
"AFF";91;"Professional Affiliation";"Zugehörigkeit zu Berufsverbänden";;0;0;1;"15.4.1";"ch15.html#Heading16";0;"PA";2
"AFF";92;"Professional Affiliation";"Zugehörigkeit zu Berufsverbänden";;0;0;1;"15.4.1";"ch15.html#Heading16";0;"PA";2
"AIG";3;"Appointment Information - General Resource";"Terminvereinbarungen - allgemeine Ressourcen";;0;0;1;"10.5.5";"ch10.htm#Heading134";0;;2
"AIG";4;"Appointment Information - General Resource";"Terminvereinbarungen - allgemeine Ressourcen";;0;0;1;"10.5.5";"ch10.html#Heading143";0;;2
"AIG";5;"Appointment Information - General Resource";"Terminvereinbarungen - allgemeine Ressourcen";;0;0;1;"10.6.5";"ch10.htm#Heading150";0;;2
"AIG";6;"Appointment Information - General Resource";"Terminvereinbarungen - allgemeine Ressourcen";;0;0;1;"10.6.5";"ch10.html#Heading150";0;;2
"AIG";7;"Appointment Information - General Resource";"Terminvereinbarungen - allgemeine Ressourcen";;0;0;1;"10.6.5";"ch10.html#Heading150";0;;2
"AIG";8;"Appointment Information - General Resource";"Terminvereinbarungen - allgemeine Ressourcen";;0;0;1;"10.6.5";"ch10.html#Heading142";0;;2
"AIG";9;"Appointment Information - General Resource";"Terminvereinbarungen - allgemeine Ressourcen";;0;0;1;"10.6.5";"ch10.html#Heading151";0;;2
"AIG";10;"Appointment Information - General Resource";"Terminvereinbarungen - allgemeine Ressourcen";;0;0;1;"10.6.5";"ch10.html#Heading3930";0;;2
"AIG";61;"Appointment Information - General Resource";"Terminvereinbarungen - allgemeine Ressourcen";;0;0;1;"10.6.5";"ch10.html#Heading150";0;;2
"AIG";81;"Appointment Information - General Resource";"Terminvereinbarungen - allgemeine Ressourcen";;0;0;1;"10.6.5";"ch10.html#Heading142";0;;2
"AIG";91;"Appointment Information - General Resource";"Terminvereinbarungen - allgemeine Ressourcen";;0;0;1;"10.6.5";"ch10.html#Heading151";0;;2
"AIG";92;"Appointment Information - General Resource";"Terminvereinbarungen - allgemeine Ressourcen";;0;0;1;"10.6.5";"ch10.html#Heading151";0;;2
"AIL";3;"Appointment Information - Location Resource";"Terminvereinbarungen - räumliche Ressourcen";;0;0;1;"10.5.6";"ch10.htm#Heading149";0;;2
"AIL";4;"Appointment Information - Location Resource";"Terminvereinbarungen - räumliche Ressourcen";;0;0;1;"10.5.6";"ch10.html#Heading159";0;;2
"AIL";5;"Appointment Information - Location Resource";"Terminvereinbarungen - räumliche Ressourcen";;0;0;1;"10.6.6";"ch10.htm#Heading166";0;;2
"AIL";6;"Appointment Information - Location Resource";"Terminvereinbarungen - räumliche Ressourcen";;0;0;1;"10.6.6";"ch10.html#Heading166";0;;2
"AIL";7;"Appointment Information - Location Resource";"Terminvereinbarungen - räumliche Ressourcen";;0;0;1;"10.6.6";"ch10.html#Heading166";0;;2
"AIL";8;"Appointment Information - Location Resource";"Terminvereinbarungen - räumliche Ressourcen";;0;0;1;"10.6.6";"ch10.html#Heading157";0;;2
"AIL";9;"Appointment Information - Location Resource";"Terminvereinbarungen - räumliche Ressourcen";;0;0;1;"10.6.6";"ch10.html#Heading167";0;;2
"AIL";10;"Appointment Information - Location Resource";"Terminvereinbarungen - räumliche Ressourcen";;0;0;1;"10.6.6";"ch10.html#Heading3946";0;;2
"AIL";61;"Appointment Information - Location Resource";"Terminvereinbarungen - räumliche Ressourcen";;0;0;1;"10.6.6";"ch10.html#Heading166";0;;2
"AIL";81;"Appointment Information - Location Resource";"Terminvereinbarungen - räumliche Ressourcen";;0;0;1;"10.6.6";"ch10.html#Heading157";0;;2
"AIL";91;"Appointment Information - Location Resource";"Terminvereinbarungen - räumliche Ressourcen";;0;0;1;"10.6.6";"ch10.html#Heading167";0;;2
"AIL";92;"Appointment Information - Location Resource";"Terminvereinbarungen - räumliche Ressourcen";;0;0;1;"10.6.6";"ch10.html#Heading167";0;;2
"AIP";3;"Appointment Information - Personnel Resource";"Terminbereinbarungen - Personalressourcen";;0;0;1;"10.5.7";"ch10.htm#Heading162";0;;2
"AIP";4;"Appointment Information - Personnel Resource";"Terminbereinbarungen - Personalressourcen";;0;0;1;"10.5.7";"ch10.html#Heading173";0;;2
"AIP";5;"Appointment Information - Personnel Resource";"Terminbereinbarungen - Personalressourcen";;0;0;1;"10.6.7";"ch10.htm#Heading180";0;;2
"AIP";6;"Appointment Information - Personnel Resource";"Terminbereinbarungen - Personalressourcen";;0;0;1;"10.6.7";"ch10.html#Heading180";0;;2
"AIP";7;"Appointment Information - Personnel Resource";"Terminbereinbarungen - Personalressourcen";;0;0;1;"10.6.7";"ch10.html#Heading180";0;;2
"AIP";8;"Appointment Information - Personnel Resource";"Terminbereinbarungen - Personalressourcen";;0;0;1;"10.6.7";"ch10.html#Heading170";0;;2
"AIP";9;"Appointment Information - Personnel Resource";"Terminbereinbarungen - Personalressourcen";;0;0;1;"10.6.7";"ch10.html#Heading181";0;;2
"AIP";10;"Appointment Information - Personnel Resource";"Terminbereinbarungen - Personalressourcen";;0;0;1;"10.6.7";"ch10.html#Heading3960";0;;2
"AIP";61;"Appointment Information - Personnel Resource";"Terminbereinbarungen - Personalressourcen";;0;0;1;"10.6.7";"ch10.html#Heading180";0;;2
"AIP";81;"Appointment Information - Personnel Resource";"Terminbereinbarungen - Personalressourcen";;0;0;1;"10.6.7";"ch10.html#Heading170";0;;2
"AIP";91;"Appointment Information - Personnel Resource";"Terminbereinbarungen - Personalressourcen";;0;0;1;"10.6.7";"ch10.html#Heading181";0;;2
"AIP";92;"Appointment Information - Personnel Resource";"Terminbereinbarungen - Personalressourcen";;0;0;1;"10.6.7";"ch10.html#Heading181";0;;2
