"version_id";"hl7_version";"description";"status";"date_release";"HtmlPath";"HtmlFile";"filename_prefix";"previous_version";"sort";"HtmlGeneration";"display";"base_standard";"XML_schema_path";"compare_table";"realm";"governance"
0;"0";"invisible";"-";;;;;0;0;0;0;0;;0;"UV";"US"
1;"2.1";"Official Standard";"Final Release";31.12.1992 00:00:00;"std21";"hl7.html";"v21";0;1;1;1;0;"D:\temp\HL7-xml v2.1";1;"UV";"US"
2;"2.2";"Official Standard";"Final Release";1.12.1994 00:00:00;"std22";"hl7.html";"v22";1;3;1;1;0;"d:\temp\HL7-xml v2.2";1;"UV";"US"
3;"2.3";"Official Standard";"Final Release";7.4.1997 00:00:00;"std23";"hl7.htm";"v23";2;5;1;1;0;"d:\temp\HL7-xml v2.3";1;"UV";"US"
4;"2.3.1";"Official Standard";"Final Release";17.5.1999 00:00:00;"std231";"hl7.html";"v231";3;8;1;1;0;"d:\temp\HL7-xml v2.3.1";1;"UV";"US"
5;"2.4";"Official Standard";"Final Release";1.11.2000 00:00:00;"std24";"hl7.htm";"v24";4;10;1;1;0;"d:\temp\HL7-xml v2.4";1;"UV";"US"
6;"2.5";"Official Standard";"Final Release";30.8.2003 00:00:00;"std25";"hl7.html";"v25";5;14;1;1;0;"d:\temp\HL7-xml v2.5";1;"UV";"US"
7;"2.6";"Official Standard";"Final Release";1.10.2007 00:00:00;"std26";"hl7.html";"v26";61;21;1;1;0;"D:\temp\HL7-xml v2.6";1;"UV";"US"
8;"2.7";"Official Standard";"Final Release";1.2.2011 00:00:00;"std27";"hl7.html";"v27";7;23;1;1;0;"d:\temp\HL7-xml v2.7";1;"UV";"US"
9;"2.8";"Official Standard";"Final Release";1.4.2014 00:00:00;"std28";"hl7.html";"v28";81;26;1;1;0;"d:\temp\HL7-xml v2.8";1;"UV";"US"
10;"2.9";"Official Standard";"Final Release";1.12.2019 00:00:00;"std29";"hl7.html";"v29";92;29;1;1;0;"d:\temp\HL7-xml v2.9";1;"UV";"US"
11;"2.9.1";"Official Standard";"Normative Ballot #1";1.9.2022 00:00:00;"std291";"hl7.html";"v291";10;30;1;1;0;"d:\temp\HL7-xml v2.91";1;"UV";"US"
20;"2.2 DE";"German Additions";"In progress";;"std22de";"hl7.html";"v22de";2;4;1;1;2;;0;"DE";"DE"
32;"2.3 Agfa";"Agfa: ORBIS SP7";"in progress";18.11.2007 00:00:00;"std23agfa";;"v23agfa";3;7;0;1;3;;0;"DE";"DE"
60;"2.5 DE";"German Additions";"In Progress";5.7.2007 00:00:00;"std25de";"hl7.html";"v25de";6;15;1;1;6;;0;"DE";"DE"
61;"2.5.1";"Official Standard";"Final Release";5.5.2007 00:00:00;"std251";"hl7.html";"v251";6;19;1;1;6;"d:\temp\HL7-xml v2.5.1";1;"UV";"US"
81;"2.7.1";"Official Standard";"Final Release";;"std271";"hl7.html";"v271";8;25;1;1;8;"d:\temp\HL7-xml v2.7.1";1;"UV";"US"
91;"2.8.1";"Official Standard";"Final Release";;"std281";"hl7.html";"v281";9;27;1;1;9;"d:\temp\HL7-xml v2.8.1";1;"UV";"US"
92;"2.8.2";"Official Standard";"Final Release";;"std282";"hl7.html";"v282";91;28;1;1;9;"d:\temp\HL7-xml v2.8.2";1;"UV";"US"
100;"2.1 DE";"German Additions";"in progress";;"std21de";;"v21de";0;2;0;0;1;;0;"DE";"DE"
300;"2.3 DE";"German Additions";"in progress";;"std23de";;"v23de";3;6;1;1;3;;0;"DE";"DE"
400;"2.3.1 DE";"German Additions";"in progress";;"std231de";;"v231de";4;9;1;1;4;;0;"DE";"DE"
500;"2.4 DE";"German Additions";"in progress";;"std24de";;"v24de";5;11;1;1;5;"d:\temp\HL7-xml v2.4 DE";0;"DE";"DE"
530;"2.4 CH";"Swiss Additions";"in progress";17.12.2011 00:00:00;"std24ch";;"v24ch";5;13;1;1;5;;0;"CH";"CH"
540;"2.4 UK";"British Additions";"in progress";;"std24uk";;"v24uk";5;12;1;1;5;;0;"UK";"UK"
610;"2.5.1 DE";"German Additions";"in progress";;"std251de";;"v251de";61;20;1;0;61;;0;"DE";"DE"
620;"2.5 AT";"Austrian Additions";"in progress";10.6.2008 00:00:00;"std25at";"hl7.html";"v25at";6;17;1;1;6;;0;"AT";"AT"
630;"2.5 FR";"French Additions";"in progress";10.7.2014 00:00:00;"std25fr";;"v25fr";6;18;1;1;6;;0;"FR";"FR"
640;"2.5 IHE";"IHE";"Final Release";;"std25ihe";;"v25ihe";6;16;1;1;6;;0;"UV";"IHE"
700;"2.6 DE";"German Additions";"in progress";;"std26de";;"v26de";7;22;1;1;7;;0;"DE";"DE"
800;"2.7 DE";"German Additions";"in progress";;"std27de";;"v27de";8;24;1;0;8;;0;"DE";"DE"
996;"HTTP";"Official Standard";"Final Release";;"http";;"http";0;99;0;1;0;;0;"UV";"US"
997;"v2.xml";"Official Standard";"Final Release";;;;"v2xml";0;99;0;1;0;;0;"UV";"US"
998;"LLP";"Official Standard";"Final Release";;"llp";;"llp";0;99;0;1;0;;0;"UV";"US"
999;"div";"Official Standard";"Final Release";;"http";;"http";0;99;0;1;0;;0;"UV";"US"
